abo	 《オーストラリア英語》《俗・禁句》原住民(aborigine) 
bet	 『かけ』・(…との)かけ《+『with』+『名』》 / かけた物(金) / かけの対象 / 〈金・物〉'を'『かける』 / (かけ事・ゲームなどで)〈人〉‘と'『かけをする』《+『名』〈人〉+『on』+『名』》 / (…に)『かける』《+『on』(『against』)+『名』(one's do『ing』)》
bey	 ベイ(中東の高官の称号) / ベイ(Mr.に当たるトルコ語)
bid	 《文》(権威をもって)〈人〉‘に'『命じる』,指示する / 《文》〈あいさつ・祝福・祝りなどの言葉)'を'〈人〉‘に'『言う』,述べる《+『名』〈間〉+『名』〈直〉=+『名』+『to』+『名』》 / (競売などで)(…に)〈値〉'を'『つける』,せる《+『名』+『for』(『on』)+『名』》 / (カードゲームで)〈せり札〉'を'宣言する / 《文》命令する,さしずする / (…に)値をつける,(…を)入札する《+『foe』+『名』》;(…と)せり合う《+『against』+『名』》 / つけ値;入札 / (カードゲームでせり札の)宣言 / 《米話》招待 / 努力,試み
big	 (大きさ・高さ・広さ・数量・容積などについて)『大きい』 / 成長した(grown-up),成熟した;年長の(older) / 《話》『重要な』 / 尊大な,ごう慢な / 寛大な,心の大きい / 《補語にのみ用いて》(…に)満ちて《+『with』+『名』》 / 《補語にのみ用いて》(子を)宿して《+『with』+『名』》 / 偉らそうに;大きく
bin	 (穀物・石炭などを入れる)ふたつきの大箱 / (れんがなどで仕切った)貯蔵所
bit	 (…の)『小片』,少量,少し(の…)《+『of』+『名』》 / 《a~》《話》わずかの時間,しばらく;ちよっと,少し / 《米俗》12セント半;《英》小銭 / =bit part
boa	 (また『boa constrictor』)ボア(熱帯アメリカ産の大ヘビで獲物を絞め殺してから食べる習性がある) / ボア(毛皮または羽毛製の長い婦人用えり巻き)
bod	 《英話》人;(特に)男 
bog	 沼地,沼沢地 / …'を'沼にはまらせる / 沼にはまる 
bop	 (げんこつ・棒などで)…'を'なぐる,打つ《+『名』+『with』+『名』》 / 打撃,殴打
bow	 『弓』 / (楽器の)弓 / 弓形,弓形のもの(にじなど) / (リボンなどの)ちょう結び;ちょうネクタイ(bowtie) / (めがねの)つる / 〈バイオリンなど〉'を'弓でひく
box	 『箱』 / (の…)『1箱』《+『of』+『名』》 / (劇場などの)さじき席 ます席 / 番小屋,詰め所 / (野球で)バッターボックス;コーチャーズボックス;ピッチャーズマウンド;キャッチャーの定位置 / (線で囲った)四角のわく,囲み;(新聞・雑誌の) / (郵便の)私書箱 / 《the box》《英俗》テレビ / …'を'箱に入れる,箱詰めにする 
boy	 『少年,男の子』 / 《しばしば所有格を伴って》むすこ / 《しばしば複数形で》青年,若い男 / 《話,特に米南部方言》(年齢に関係なく)男,仲間 / 給仕,下男 / 《the boys》飲み(遊び,仕事)仲間 / 《米話》やあ(その他,歓喜・驚きを表す時に用いられる) 
bra	 =brassiere,　brassiere 
bud	 〈C〉『茅;つぼみ』 / 〈C〉(下等動物の)茅状突起 / 〈U〉発茅;発茅期 / 〈C〉子供,小娘,少年 / 〈植物が〉茅を出す;つぼみを持つ / 成長し始める
bug	 《米》昆虫,(一般に)虫;(特に)カデトムシ(beetle) / 《おもに英》=bedbug / 《話》病原菌 / 《話》(機械の)故障 / 《話》(病的な)熱狂家;《the ~》…熱 / 《話》隠しマイク / …‘に'隠しマイクを取リ付ける / 《おもに米》…'を'悩ます,てこずらせる
bum	 なまけ者;浮浪者 / ぶらつく,のらくらする《+『around』+『名』》 / …'を'ねだる,たかる / 非常に悪い,価値のない
bun	 ロールパン;(しばしば甘味香料などを入れた)丸形パン　まげ,束髪 
bus	 『バス』 / …'を'バスで運ぶ / バスで行く 
but	 《先に述べたことに反対・対照する内容の語・句・節を導いて》『しかし』,だが,けれども / 《前にある否定語と対応して》(…でなく)『て』 / 《間投詞などの後でほとんど意味を持たずに》 / 『…を除いて』,以外に(except) / 《しばしばthatを伴って》『…でなければ』,『でないと』(unless) / 《文》《否定文に続いて》…しないでは(…ない),(…すれば)必ず…する / 《文》《否定の主節に続いて,so, suchと相関的に》…しないほど / 《文》《否定文・疑問文に用いられてdeny, doubt, questionなどの後で,名詞節を導いて》…ということ(that) / 《文》《否定文・疑問文に用いられたbe sure, believe, can tell, know, think, it is impossibleなどの後に,名詞節を導いて》…でないということを(that … not) / 『ほんの』,ただ(only) / 『…を除いて』,…のほかは(except) / …しない(もの)(that … not)
buy	 …'を'『買う』 / 〈ある金額が〉…‘が'買える / (代償を払って)…'を'獲得する,入手する / 〈人〉'を'わいろで買収する / 買う / 買うこと / 《話》格安品(bargain) 
bye	 二の次の事(物) / 付随的な,副次的な
cab	 《おもに米》タクシー(=taxicab) / 昔のつじ馬車 / (トラック・機関車などの)運転台,運転室 
cad	 きたないやつ 
cam	 カム,歪(わい)輪(機械の回転運動を水平・上下などの運動に変える) 
can	 《能力》『…することができる』　《可能性・推量》　《平叙文で》『…であり得る』　し得る,かもしれない　《否定文で》…のはずがない,ではあり得ない　《疑問文で》いったい…だろうか　《話》《許可・軽い命令》『…してもよい』　…してあげよう;《疑問文で》…してくれませんか 
cap	 (縁のない)『帽子』,制帽 / (形・用途が)帽子に似たもの;万年筆のキャップ,時計の中ぶた,びんのふた,キノコのかさなど / (銃弾の)雷管;おもちゃのピストル玉 / 頂上,最高 / …‘に'帽子をかぶせる / …‘の'頂をおおう / 〈人が言った・した事〉‘の'上手(うわて)を行く,'を'しのぐ / …‘に'栄誉を与える
car	 『自動車』(automobile)電車(streetcar) / 《米》(鉄道の)『車両』;客車,貨車 / (気球などの)かご;(エレベーターの)箱 
cat	 『猫』;(ライオン,トラ,ヒョウなどの)ネコ科の動物 
caw	 (カラスの)カアカアという鳴き声 / 〈カラスが〉カアカア鳴く[擬声語]
cay	 (川の)州,中州 
chi	 キー(ギリシア語アルファベットの第22字Χ,χ;英語のchに相当) 
chm	 chairman 
cob	 雄の白鳥・短脚強健な馬、小馬・雄の白鳥（cob swan）・ トウモロコシの穂軸（corncob）・小さい固まり、石炭 
cod	 =codfish 1 
cog	 歯車の歯 / =cogwheel
col	 (山脈の)鞍部(あんぶ),山あい 
con	 …'を'よく研究する 
cop	 警官,ポリ公 
cor	 (驚いて)わあっ,えっ 
cos	 cosine 
cot	 《詩》小さな家,小屋 / (動物を入れる)小屋,囲い
cow	 『雌牛』,乳牛 / (鯨・象・サイなどの)雌
cox	 =coxswain 
coy	 (特に女性の態度が)はにかむふりをする,内気を装う 
coz	 =cousin 
cps	 cycles per second・= c.p.s. 
cry	 (喜び・悲しみ・苦痛などで)『泣く』,涙を流す / 『叫ぶ』《+『out』》 / 〈鳥・獣が〉鳴く,ほえる / …‘と'『叫ぶ』,大声で言う / 〈ニュース〉'を'大声でふれ歩く;〈品物〉'を'呼び売りする / 『叫び[声];(鳥・獣の)鳴き声,ほえ声』 / 『声をあげて泣くこと』,泣き声 / (…に対する,反対する)要求,訴え《+『for』(『against』)+『名』》,(…する)要求《+『to』 do》 / 世論;スローガン,標語 
cub	 (キツネ・クマ・ライオンなど)野獣の子 / (しつけの悪い)子ども,小僧 / 新米,見習い / =cub scout
cud	 食いもどし(牛などの反すう動物が第1胃から口へもどしてかむ食物) 
cue	 きっかけ(俳優の登場またはせりふの合図),(せりふの)渡し文句 / (行動の)きっかけ,合図 / …‘に'きっかけ(指示)を与える 
cup	 (紅茶・コーヒー用の)『茶わん』 / 『茶わん1杯』(の…)《+『of』+『名』》 / カップ(容量の単位,約240,) / 賞杯 / 《修飾語を伴って》(悲しみ・楽しみなど)人生の経験 / 《複数形で》酒・飲酒 / 〈手のひら〉'を'杯状にする / …'を'茶わん(杯状の物)の中へ入れる
cur	 のら犬 / くだらない人間
cut	 (刃物などで)…'を'『切る』,傷つける / (刃物などで)…'を'『切断する』,切り分ける;〈草・作物・髪など〉'を'刈り取る / 〈像・文様など〉'を'『刻む』,彫る;〈石・宝石など〉'を'刻む;みがく;〈衣服など〉'を'裁断する / 《比喩(ひゆ)的に》〈人,人の心〉'を'切る,傷つける;〈寒さなどが〉…‘の'身を切る / (…から)…'を'『削除する』《+『名』+『from』(『out of』)+『名』》 / …'を'減らす,削減する;(…で)…'を'薄める《+『名』+『with』+『名』》 / …'を'横切る,‘と'交差する / …'を'掘る,切り開く / …'を'止める / 〈歯〉'を'はやす / 《話》(わざと)…'を'知らないふりをする,のけものにする / 《話》〈授業など〉'を'さぼる,欠席する / (カードゲームで)〈一組の札〉'を'切る / (テニス・卓球などで)〈ボール〉'を'カットする / 《しばしば状態を表す副詞[句]を伴って》〈刃物が〉『切れる』;〈物が〉切られる / 〈物事が〉身を切るように痛い;感情をひどく傷つける / (…へ)急に方向を変える《+『to』+『名』》 / (…への)切り傷,刻み目《+『on』(『in』)+『名』》 / (刃物の)一切り,(むちなどの)一打ち / (…の)断片(特に,切り取った肉など),切り身《+『of』+『名』》 / (…の)削減,(値段の)割引き,(賃金の)引下げ《+『in』+『名』》 / (…の)切り方,裁ち方,刈り方《+『of』+『名』》 / (テニス・卓球などで)ボールを切ること / 横断路,通り抜け路 / 切り通し;掘り割り / 木版[画];(印刷用の)金属板;さし絵,カット / (…に対する)感情を傷つける言葉(行為);しんらつな言葉,冷酷な仕打ち《+『at』+『名』》 / 《話》分け前,配前(share)
dab	 (柔らかい物・湿った物などで)…'を'軽くたたく,軽く押える《+『名』+『with』+『名』》 / (…に)…'を'軽くなすりつける《+『名』+『on』(『onto, over』)+『名』》 / (…を)軽くたたく《+『at』+『名』》 / (…を)軽くたたくこと,軽く塗りつけること《+『at』+『名』》 / 《話》《a~》(…の)一塗り;少量(の…)《+『of』+『名』》 
dam	 〈C〉『ダム』,せき / 〈U〉ダムでせき止めた水 / 〈水流など〉'を'『せき止める』《+『up』+『名』,+『up』+『名』》 / 〈感情など〉'を'むりやり抑える《+『up』(『back』)+『名,』+『名』+『up』》
daw	 コクマルガラス(ヨーロッパ産の光沢のあるガラス), =jackdaw 
day	 〈U〉〈C〉『昼間』,『日中』 / 〈C〉『1日』,1昼夜,日 / 〈C〉(労働や勉強の単位の)1日 / 〈C〉(物事が予定された)日・期日;《しばしばD-》祝日 / 〈C〉《しばしば複数形で》(過去・現在・未来いずれかの)『時代』;現代 / 〈C〉《しばしば複数形で》『一生』,生涯;《所有格の旧詞・代名詞とともに槻数形で》(…の)『全先宗代』,活動期 / 〈U〉《the ~》戦い,勝負 
deb	 =debutante 
den	 (野生動物の)巣穴,ほら穴 / 《話》奥まった小部屋;私室 / 隠れ家(が);(特に犯罪者の)根城,巣 
dew	 『露』 / (涙・汗などの)『しずく』,玉《+『of』+『名』》 / (…の)さわやかさ《+『of』+『名』》 / …‘を'露で湿らせる;(露が降りたように)…‘を'ぬらす
die	 〈人・動物が〉『死ぬ』,〈植物が〉『枯れる』 / 《副詞[句]を伴って》〈音・光・風などが〉消えてゆく《+『away』》;〈火・感情などが〉次第に収まる《+『down』》;〈家系・習慣などが〉絶えてなくなる《+『out』》 / 〈機械が〉動かなくなる,止まる / 《話》《進行形で》死ぬほど望む
dig	 〈地面・穴など〉‘を'『掘る』 / …‘を'『掘り出す』《+『up』+『名』,+『名』+『up』》 / (…から)…‘を'見つけ出す,探り出す《+『名』+『from』+『名』》 / …‘を'突く;(…に)…‘を'突っ込む《+『名』+『in』(『into』)+『名』》 / 《俗》…‘を'理解する,好む / 『地面を掘る』,掘り返す / 《話》(資料などを)丹念に調べる《+『at』+『名』》 / (…を)小突くこと《+『in』+『名』》 / (…に対する)当てこすり《+『at』+『名』》 / 考古学上の発掘地 / 《複数形で》《英話》下宿 
dim	 『薄暗い』,ほの暗い / はっきり見えない(聞こえない,理解できない) / (考え・記憶などが)はっきりしない,ぼんやりした / (色などが)くすんだ,光沢のない / 批判的な,悲観的な / 《話》(人が)ばかな,愚かな / (目が)かすんだ / …‘を'『薄暗くする』,ぼんやりさせる / 『薄暗くなる』,かすかになる 
din	 騒音 / …‘を'騒々しく鳴り響かせる / …‘を'しつこくしゃべる / しつこくしゃべりまくる
dip	 (水などに)…‘を'『ちょっと浸す』,さっとつける《+『名』+『in』(『into』)+『名』》 / (中の物を取り出すために)(…に)〈手・バケツ・ひしゃくなど〉‘を'入れる《+『名』+『into』+『名』》 / …‘を'浸して染める / (…から)…‘を'すくい出す,くみ出す,すくい上げる《+『名』+『from』(『out of』)+『名』》 / 〈旗など〉‘を'ちょっと下げてまたすぐ上げる / (…に)『ちょっとつかる』,さっと潜る《+『into』+『名』》 / 下がる,沈む / 〈土地・道路などが〉下に傾く / (液体や容器に)手(さじなど)を突っ込んで取り出す《+『into』+『名』》 / (ある問題を)ちょっと調べる,のぞく;(本などを)拾い読みする《+『into』+『名』》 / 〈C〉《話》ちょっと浸す(浸る)こと,一溶び / 〈C〉(スープなどの)一すくい;一くみ / 〈U〉(クラッカーを浸す)味付けソース;(染色などの)浸液;(羊を洗う)消毒液 / 〈C〉(土地・道路の)傾斜,下り坂;沈下,くぼみ / 〈C〉(値段の)下落 
doc	 =doctor 
doe	 (シカ・カモシカ・ヤギ・ウサギなどの)雌 
dog	 犬 / 雄犬;イヌ科の動物(特にイタチ・オオカミ・カワウソ)の雄 / 《話》《形容詞を伴って》やつ / 《話》くだらない男,下劣なやつ / 《米俗》粗悪な物,くだらない物 / つかみ道具(氷づかみ,掛けかぎなど) / 《the dogs》《英》競犬 / (犬のように)…‘の'後をつける,‘に'付きまとう
doh	 do
don	 《Don》ドン(Sirに当たるスペイン語で男性の洗礼名の前につける) / 〈C〉スペイン貴族(紳士) / 〈C〉(オックスフォード・ケンブリッジ両大学の)学監,指導教授 / 〈C〉《英》大学教師
dot	 『点』,ぽち,しみ / (ペンで書いたような)小点;終止符(period) / (通信の)短点 / …‘に'『点を打つ』 / (…を)…‘に'『点在させる』,散在させる《+『名』+『with』+『名』》 / …‘を'打つ,なぐる(hit)
dpt	 department / deponent
dry	 『乾いた』,乾燥した / 『雨の降らない』,日照り続きの / 水のかれた,干上がった / (家畜などが)乳の出ない / 涙の出ない / 液状でない,固形の / のどが乾く,のどが乾いた / (パンが)バター(ジャム)などのついていない;(パン・ケーキが)古い,固くなった / ありのままの,飾りけのない,そっけない / (ユーモア・皮肉などが)さりげない / (ぶどう酒などが)辛口の / 禁酒の,禁酒法実施の / …‘を'『乾かす』《+『名』+『up,』+『up』+『名』》 / (手ぬぐい・ハンカチなどで)〈手・足など〉‘を'ぬぐう,ふく《+『名』+『with』(『on』)+『名』》 / (保存のために)〈食物〉‘を'乾燥させる / 『乾く』,〈水が〉かれる《+『up』(『out』)》
dub	 《文または古》(国王がナイトの爵位授与式で)〈武人〉‘を'剣で肩を軽くたたいて(ナイトに)叙する《+『名』+『名』〈補〉》 / (…と)…‘に'あだな(名称)を付ける《+『名』+『名(形)』〈補〉》
due	 《補語にのみ用いて》(負債などが)『支払われるべき』,支払期日が来ている,満期の / 《補語にのみ用いて》(敬意・考慮・金などが)(…に)当然払われるべき,与えられるべき《+『to』+『名』》 / 《名詞の前にのみ用いて》『当然の』,適当な,十分な / 《補語にのみ用いて》《時を表す副詞[句]を伴って》(列車などが)『到着する予定で』 / まさしく,真に / 《通例単数形で》当然受けるべきもの / 《複数形で》税金,料金,手数料,会費 
dug	 digの過去・過去分詞 
dun	 〈人〉‘に'うるさく借金の催促をする / やかましい借=の催促 / 借金取り 
duo	 =duet / 《話》一組,一対
dup	 duplicate 
dye	 (髪・布などの)『染料』 / 染め色,色合い / …‘を'『染める』,‘に'色をつける / 〈布などが〉『染まる』
ear	 〈C〉『耳』 / 《単数形で》『聴覚』,聴力,音感 / 《単数形で》じっと聞くこと,傾聴 / 〈C〉耳の形をした物
eat	 …‘を'『食べる』;〈食事〉‘を'する;〈スープ〉‘を'飲む / …‘を'常食にする(進行形にできない) / 〈金属〉‘を'腐食する;〈水,水の流れが〉…‘を'浸食する《+『away』+『名,』+『名』+『away』》 / 〈穴など〉‘を'腐食(浸食)してあける / 『食べる』,食事をする 
ego	 〈U〉〈C〉自我;《しばしばE・go》主観 / 〈U〉《話》うぬぼれ,自尊心(conceit)
elf	 小妖精 
elk	 ヘラジカ(北米・北欧・アジア産のオオジカ) 
elm	 〈C〉ニレ / 〈U〉ニレ材
emu	 エミュー(ダチョウに似たオーストラリア産の翼のない大鳥) 
end	 (細いものの)『端』,先端《+『of』+『名』》 / (物語などの)『終り』,終結部《+『of』+『名』》 / (物事・期間の)『最後』《+『of』+『名』》;(…に)結末をつけるもの《+『to』+『名』》 / (…の)端の部分,末端部《『of』+『名』》 / 《しばしば複数形で》『目的』(purpose),目標(aim) / 《遠回しに》死,滅亡 / 《しばしば複数形で》切れ端,くず,残りもの / (事業などの)部門(part) / (フットボールで)エンド)前衛両端の選手または位置) / …‘を'『終わらせる』,終える / 〈物事が〉…‘の'終りとなる,‘を'締めくくる / 『終わる』,終了する(come to an end)
eon	 非常に長い期間;永遠,永世 / 累代(地質学上の年代区分の最大の単位で,代(era)を二つ以上含む)
era	 (あるものの存在・でき事などで特徴づけられた)時代 / 紀元 / (地質の時代を表す)代 
erg	 エルグ(エネルギーの単位) 
eta	 エータ(ギリシア語アルファベットの第7字Η,η;英語のE,eに相当) 
fad	 つかの間の熱中;一時的流行 
fag	 〈仕事などが〉〈人〉‘を'疲れさせる《+『名』+『out』,+『out』+『名』》 / へとへとになるほど働く;(…を)熱心にやる《+『away at』+『名』》 / 《英》(パブリックスクールで)上級生の雑用をする / 《おもに英》《a~》苦しくいやな仕事 / (パブリックスクールで)上級生の雑用をする生徒 
fan	 『うちわ』扇 / (クジャクのしっぽなど)扇状のもの / 『扇風機』,送風機: / 〈空気〉‘を'うちわなどで動かす,〈風〉‘を'起こす / (うちわなどで)…‘に'風を送る,‘を'あおぐ / (そよ風などが)…‘に'吹きつける,‘を'なでる / 〈感情など〉‘を'あおる,かき立る / …‘を'扇形に広げる / (野球で)〈打者〉‘を'三振させる / 扇形に広がる《+『out』》 / (野球で)三振する 
far	 《距離》『遠くに』,遠くへ,はるかに / 《時間》『ずっと後まで(に),ずっと先まで(に)』 / 《程度》《形容詞・副詞[句],およびその比較級を修飾して》『ずっと』,はるかに(much),たいそう / 《おもに文・詩》(場所が)『遠くにある』,遠い / (二つのうち)『遠いほうの』,向こう側の / 長距離(長時間)にわたる / (政治的に)極端な 
fat	 『脂肪』,脂肪分 / (動物の)あぶら身 / (料理用の)油,ヘット / 肥満,太り過ぎ / 『太った』,肥満した / 『脂肪の多い』 / たっぷりとはいった,分厚い / もうかる / (土地が)肥えた / …‘を'太らせる / ふとる,肥える 
fay	 妖精(ようせい)(fairy) 
fed	 feedの過去・過去分詞 
fem	 female / feminine
fen	 沼地,沼沢地,湿地帯 
few	 《aをつけて肯定的に》『少しはある』,多少の,いくつかの / 《aをつけないで否定的に》『ほとんどない』,少数(少し)しかない / 《aをつけて背定的に》(…の)『少数の人』(『物』)《+『of』+『名』〈複数〉》 / 《aをつけないで否定的に》(…の)少数の人(物)[しかない]《+『of』+『名』〈複数形〉》 / 《the~》少数の人たち,選ばれた人たち 
fey	 《軽べつして》(人やふるまいが)気のきかない,役立たずの / 《おもにスコットランド》呪文にかかったような,のろわれた / 超自然的な / 死の迫った
