would	 《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
write	 〈文字・文章・書物など〉'を'『書く』,記す;〈事〉'を'『書く』,手紙に書く / 〈手紙〉'を'『書く』 / 《話》〈人〉‘に'『手紙をお書く』 / 《通例受動熊で》(書たいように)…'を'はっきりと示す,明記する,刻みつける / 字(文章など)『を書く』 / 『手紙を書く』,便りをする / 〈ペンなどが〉書ける 
house	 『家』,住宅 / 家庭,家族,世帯 / 《しばしば複合語を作って》(ある特定の目的に用いる)建物 / (劇場などの)観客,聴衆 / 《しばしばthe H-》議会,立法府,議院 / 《しばしばH-》(王侯貴族の)家系,…家 / 〈人〉‘に'住居を提供する;〈人〉‘を'泊める,収容する / 〈品物〉‘を'しまう,蓄える / 家の / (特定の会社などの)社員向けの
under	 《下方の場所・位置》『…の下に』,に覆われて / 《内部の位置》『…の内側に』,の下に / (重荷・苦痛など)『を負って』,に圧迫されて / (支配・保護・影響など)『…を受けて』,のもとで,の状態で / 《受動状態の継続》『…中』 / (分類項目)『の中に』,に属して / (地位・数量などが)『…に劣る』,より下の / (行動などの基準)に従って,基づいて / 『下へ』,下に / 下位に,抑圧されて,従属して / 下の,下部の;下位の,劣った 
right	 《名試の前にのみ用いて》『右の』,右側の / 《しばしば『R-』》(政治上)『右派の』,保守的な / 〈U〉《the~》『右』,右側,右方 / 〈C〉『右手』(right hand) / 〈U〉《集合的に》《しばしばthe R-》(政治上の)右派,保守派 / 〈C〉(野球の)右翼(right field) / 『右に』,右側に,右方に 
thing	 〈C〉(形のある)『物』,物体;(生物に対しての)『無生物』 / 〈C〉(形のない)『もの』,事,事柄,でき事 / 《複数形で》事情,事態,状勢,状況 / 《複数形で》(すべての)事物,事柄 / 《通例 the~》(努力・活動などの)目的,目標 / 〈C〉衣服,衣類・《one's things》持ち物,所持品,身の回り品 / 《複数形で》道具,用具・〈C〉《親愛・哀れみ・軽べつなどの感情をこめて》人,者,やつ / 《the~》《話》(…の)流行《+in+名》
begin	 『始まる,開始する』 / 発生する,起こる / …'を'『始める』,‘に'着手する / …'を'起こす,創始する
while	 《通例 a while》『時間,』間,(特に)少しの時間 / 『…する間に(は)』 / 《譲歩》『…であるが,』…なのに / 《比較・対照》(…だが)『一方では』 / 《類似・対応》そして[その上] / 《英北東部》《俗》…まで(until) 
might	 mayの過去形 / 《直説法で》《時制の一致により従節に用いて》 / 《仮定法で》 / 《現在の事実と反対の仮定》…『かもしれないのだが』;…してもよい / 《過去の反対の推量》…『したかもしれない』 / 《仮定法から転じて遠回しの表現で》 / 《可能性・推量》『ひょっとしたら』…『かもしれない』 / 《疑問文で》《不確実》いったい…だろうか / 《許可》…『してもよい』 / 《提案・依頼》…『してくれませんか』…してみてはどうだろうか / 《非難・不平》…『してもよさそうなものだ』 
point	 〈C〉(針・鉛筆・剣などの)『とがった先』,(…の)先端《+『of』+『名』》 / 〈C〉岬(みさき) / 〈C〉(小数点・句読点などの)点 / 〈C〉(図形上の)点 / 〈C〉(ある特定の)『地点』(spot),場所(place) / 〈C〉(計器の目盛りなどの)『点』,『度』 / 〈C〉時点,瞬間 / 〈C〉《単数形で》(物語・議論などの)『要点』,核心《+『of』(『in』)+『名』》 / 〈U〉(…の)『目的』,『意義』,ねらっている点《+『of』(『in』)+『名』(do『ing』)》 / 〈C〉(全体の中の)個々の項目,細目(item),細部(detail) / 〈C〉特徴(characteristic),特質(trait) / 〈C〉(競技・学校の成績などの)得点 / 〈C〉ポイント(活字の大きさの単位;約1/72インチの大きさ) / (…に)〈銃・指など〉‘を'『向ける』《+『名』+『at』(『to, toward』)+『名』》 / …‘に'『指し示す』《point+名+to+名…に…をさし示す》 / …‘の'先をとがらせる,‘に'先を付ける / …‘に'点を打つ;…‘に'小数点を付ける;…‘に'句読点を付ける / 〈猟犬が〉〈獲物〉‘を'指し示す / (…を)(指などで)『示す』,指し示す《+『at』(『to, toward』)+『名』(do『ing』)》 / 〈猟犬が〉獲物の位置を示す
child	 (おとなに対して)『子供』,幼児,児童;(小学・中学・高校の)児童 / (親に対して)子,子孫;息子,娘 / (ある環鏡・時代の)影響を受けて生まれた人,(…の)申し子《+『of』+『名』》 / (頭脳・空想などが)産み出したものの,所産《+『of』+『名』》
since	 《通例完了形またはit is(was)と共に用いて》…『以後』[『ずっと』],…以来[ずっと] / …『ので』,…だから / …『以来』,…から[今まで] / 《完了形とともに用いて》『その時から現在まで』,それ以来ずっと / 《完了形とともに用いて》『その後』[『今までの間に』] / 《過去時制・完了形とともに用いて》(現在より)…前に
large	 (同じ種類のものと比較して,形・体積・数量などが)『大きい』,多い,広い / (考えなどが)広範囲な,幅の広い,寛大な / 大きく / 自慢して,誇大に
group	 (…の)『群れ』,集まり,小集団《+of+名》 / (主義・系統・種類などを同じくする人・物の)『派』,『団体』 / (ポミュラーソング歌手の)グループ / (動・植物分類上の)群;(化学の)基,原子団;(地質学上の)界;(数学の)群;(言語学上の)語派 / …‘を'一群に集める,一団にする《+『名』+『together』》 / (系統的に)…‘を'分類する,調和よく配合する《+『名』+『together』》 / 集まる,群(集団)をなす 
stand	 〈人・動物が〉『立つ』,立っている / (すわっていたのが)『立ち上がる』,起立する《+『up』》 / 〈物が〉(ある場所に)『立っている』,立てかけてある,置かれている / 《副詞[句]を伴って》『位置する』ある(進行形にできない) / 〈人物が〉状態(関係)にある / 〈人が〉(…に)(賛成・反対の)態度をとる,主張をする《+『for』(『against』)+『名』》 / 《『stand』+『名』(『形』)〈補〉》〈身長・得点・温度・順位などが〉(…で)ある / 立ち止まる;〈車・機械などが〉停止している / 〈主張などが〉変わらないでいる,ぐらつかない;〈規則などが〉有効である(進行形にできない) / 〈水などが〉よどむ;〈涙・汗などが〉たまる / 《副詞[句]を伴って》(船が)針路をとる / …‘を'『立てる』,立たせる,立てかける;…‘を'置く,すえる / …‘に'『立ち向かう』;…‘に'ひるまない;…‘を'守り通す / 《追例否定文で》…‘に'『耐える』,‘を'がまんする(進行形にできない) / 〈検査など〉‘を'受ける;〈運命など〉‘に'従う / 《話》…‘を'おごる / 〈任務など〉‘を'務める / 『立つこと;立ち止まること』,停止 / 防御,抵抗 / 立場,(明確な)態度,意見 / 位置,場所 / 《しばしば複合語を作って》『台』,…立て,…掛け / 《米》=witness stand / 『屋台店』,売店 / (タクシー・バスなどの)駐車場・乗り場 / 《通例the stands》『観覧席』,さじき,スタンド / (同一の地域・種類・樹齢の)立ち木,樹木,草木,作物 / (巡業興行団の)巡業[先],巡回[地]
early	 (時間・時期が)『早い』,『初期の』 / 昔の / (普通より,予定より)早い / 近い将来の / (時間・時期的に)『早く』 / (予定・ふだんより)早く
close	 …'を'『閉じる』,閉める(shut) / …'を'ふさぐ(fill) / 〈事務・仕事・話など〉'を'『終える』,済ませる / 〈通路・施設など〉'を'一時的に閉じる,‘の'使用を一時中止する / (一つにまとまるように)…'を'つめる / 〈ドア・目・花などが〉『閉じる』,閉まる;ふさがる / 〈話・相談・契約などが〉『終る』,終了する,〈店などが〉終業(休業)する / くっつく,接近する(come together) / 終結,結末,終り(end) / 締め切り / (音楽の)終止 
force	 〈U〉(物理的な)『力』,勢い;体力 / 〈U〉『暴力』,腕ずく / 〈C〉《集合的に》(共通の目的・活動のための)集団,隊 / 〈C〉《しばしば複数形で》『軍隊』,部隊 / 〈C〉(社会的)勢力;有力な人物 / 〈U〉(精神あるいは知性の)力 / 〈U〉『影響力』,効果 / 〈U〉(言葉の)意味,真意 / 〈人〉‘に'『強いる』,無理を言う / (…から)…‘を'力ずくで手に入れる《+『名』+『from』(『out of』)+『名』》 / …‘を'むりに押し出す / (容器などに)…‘を'むりに押し込む《+『名』+『into』+『名』》 / (人に)…‘を'『押しつける』《+『名』+『on』(『upon』)+『名』〈人〉》 / 〈植物〉‘を'促成栽培する
water	 〈U〉水 / 《しばしば複数形で》『海』(『湖,川』)『の水』 / 《複数形で》流れる水;(海・川・湖などの)波立つ水《+of+名》 / 《複数形で》(特定の)水域,領海,近海 / 〈U〉潮位,水位;《the water》水面 / 〈U〉分泌液(涙・汗・尿など) / 〈U〉溶液,…水 / 《複数形で》(飲用の)鉱泉水 / 〈U〉(織物・金属などの)波紋 / …‘に'『水をかける』(まく,やる) / 〈動物〉‘に'水を飲ませる / …‘に'水を供給する;…‘を'潅漑(かんがい)する / 〈液体など〉‘を'水で割る,薄める《+名+down,+down+名》 / 〈織物・金属など〉‘に'波紋(波模様)をつける / 〈動物などが〉水を飲む:〈船・機関などが〉給水を受ける / 〈目・口などが〉分泌液を出す
build	 〈物〉'を'『組み立てる』,造る,建造する,建築する / (年月をかけて)〈事〉'を'『作り上げる』,築き上げる;《受動態で》〈体・性質〉'を'作る / 〈U〉造り,講造(make) / 〈U〉〈C〉体格
light	 〈U〉『光,光線』;明るさ / 〈U〉夜明け;日中;日光 / 〈C〉『明かり』(太陽・灯火など光を出すもの) / 〈U〉《時にa~》光輝(brightness),(目などの)輝き / 〈C〉(点火するための)火,火花 / 〈C〉明かり採り,採光窓 / 〈C〉《通例単数形で》(絵などの)明るい部分 / 〈U〉(…についての)知識,情報,理解《+『on』+『名』》 / 〈C〉(ものを見る)観点,見地;相 / 〈C〉この世に光を与える人;指導的な人物 / …‘に'『火をつける』《+『up』+『名』+『名』+『up』》 / …‘に'『明かりをつける』,‘を'照らす《+『up』+『名,』+『名』+『up』》 / 〈人〉‘を'明かりをつけて案内する / 〈表情など〉‘を'明るくする《+『up』+『名,』+『名』+『up』》 / 〈物が〉火がつく,点火する;明かりがつく《+『up』》 / 明るくなる,晴れ晴れする《+『up』》 / 『明るい』 / (色が)『薄い』
unite	 …‘を'『結合させる』,一つにする / (結婚によって)…‘を'結びつける《+名+in+名》 / 〈性質・才能などを〉兼ね備える,あわせ持つ / 結合する
bring	 〈物〉‘を'『持ってくる』 / 〈人が〉(…に)〈人〉‘を'『連れてくる』《+『名』〈人〉+『to』+『名』》 / 〈物事が〉(…に)〈人〉‘を'『来させる』,引き寄せる《+『名』+『to』+『名』》 / 〈物事〉をもたらす,引き起こす / (ある状態・結果・動作などに)…‘を'『する』 / (…に対して)〈訴訟〉を起こす《+『名』+『for』(『against』)+『名』》
power	 〈U〉(名身が生れつき備えている,また物事を遂行できる)『能力』,『力』 / 〈U〉(…に対する)権力,支配権《+『over』+『名』》 / 〈C〉(法・官職などによる)権限 / 《複数形で》(生まれながらの)体力,知力,才能 / 〈C〉権力者,実力者;影響力のある集団;強国・大国〈U〉軍事力;国力 / 〈U〉強さ,力 / 〈C〉《通例複数形で》神;悪魔 / 〈U〉動力;工率,仕事率 / 〈U〉(電気などの)エネルギー,力 / 〈C〉(数学で)累乗 / 〈U〉(レンズの)倍率 / 〈U〉《a~》《話》(…の)多数,多量 / 〈機械〉‘に'動力を供給する 
study	 〈U〉(一般に)『勉強』,学習すること / 〈C〉(…の)勉強,研究《+of+名》 / 〈C〉〈U〉(…の)『綿密な調査』,検討《+of+名》 / 〈C〉研究対象(問題,事項);学科 / 〈C〉『書斎』,勉強部屋 / 〈C〉(美術・文学などの)習作,試作,スケッチ,(音楽の)練習曲,エチュード / …‘を'『勉強する』,学ぶ,研究する / …‘を'『よく注意して見る』,しげしげと見る / …‘を'『調査する』,検討する / …‘を'考慮する,配慮する / 〈せりふなど〉‘を'覚えようとする / 『勉強する』,学ぶ,研究する
woman	 〈C〉(成人した)『女』,女性,婦人 / 〈U〉《冠詞をつけずに》『女性[全体]』,女 / 〈C〉《the womanhood》女らしさ,女性特有の感情(性格,言葉づかいなど) / 〈C〉(主婦の代りに)家事をする女性,お手伝いさん;(女王に仕える)侍女,女官 / 〈C〉《修飾語[句]を伴って》妻,恋人,愛人 
until	 《継続の期限》『…まで[ずっと]』 / 《否定語の後に》『…までは[しない]』,…になって初めて[…する] / 《継続の期限》『…する時まで[ずっと]』 / 《結果》(…して)『ついに』 / 《否定の主節に対して》『…するまでは[…しない]』,…して初めて[…する](before) 
night	 〈C〉〈U〉『夜』,晩,夜間 / 〈U〉(夜の)暗やみ,夜蔭 / 〈U〉《文》(精神的に)まっ暗な状態(時),やみ / 〈C〉(特定の行事・目的に当てられる)晩,夜 / 『夜の』,夜間[用]の;夜勤の;夜行[性]の 
young	 『若い』,幼い,年の行かない / 『年下のほうの』 / 若々しい,青年らしい(youthful),元気な(vigorous) / 新興の,(歴史の)新しい(new);(季節・時間などの)まだ早い(early);新鮮な,生き生きした / 経験の浅い,未熟な;(…に)不慣れな《+in(at)+名》 / 《通例 the young》《集合的に》若い人たち / 《集合的に》《単数・複数扱い》(動物・鳥の)子,ひな 
value	 〈U〉(…の)『価値』,値打ち,有用性,重要性《+of+名》 / 〈U〉〈C〉(…の)『価格』,値段《+of+名》 / 〈U〉〈C〉《米》《修飾語句を伴って》(払った金銭に対する)正当な値打ち / 〈C〉(単語の)意味,意義 / 〈C〉値,数値 / 〈C〉音の長短 / 〈C〉色価,(色の)明暗の度 / 〈C〉《複数形で》(道義・倫理などの)価値基準,価値観 / (ある金額に)…‘を'『評価する』,見積もる《+名+at+名〈金額〉》 / …‘を'『高く評価する』,尊重する,重んじる
clear	 『晴れた』;明るい(bright) / 『透き通った』,透明な / (形・輪郭などが)『はっきりした』,くっきりした / (音が)はっきり聞こえる(聞き取れる) / 『分かりやすい』,あいまいさのない / 《補語にのみ用いて》はっきり知っている,確信している / 明せきな,理路整然とした / 妨害(支障)のない / 汚れ(しみ,きず)がない / 《補語のみ用いて》(…を)免れた,(…が)ない,(…から)解放された《+『of』+『名』》 / 《名詞の前,時に名詞の後に用いて》丸々の;正味の / はっきりと,明瞭に,明確に / (…から)離れて《+『of』+『名』》 / 全く,まるまる / (…を)…‘から'『取り除く』,片付ける;(人を)…‘から'立ち去らせる《+『名』+『of』+『名』》 / (…から)〈物〉'を'『取り除く』,片付ける;(…から)〈人〉'を'立ち去らせる《『名』『+『from』(『out of』,『off』)+『名』》 / 'を'きれいにする,清らかにする;…を明るくする / …‘に'触れないで越す / (罪・疑い・責任などから)…'を'逃れさせる』,免除する《+『名』+『of』+『名』》 / 〈議会・税関・手形交換所など〉'を'すんなりと通過する,‘の'許可を簡単に得る / 《話》…'を'まるまるもうける,‘の'純益を上げる / 〈負債〉を清算する,〈手形〉を釧済する;〈小切手〉を現金化する / 『明るくなる』;澄む / 消え去る,過ぎ去る / (じゃま物のない)開けた場所,あき地 
often	 『しばしば』,たびたび,よく / 何度,何回
among	 …『の間に』,に囲まれて / 《おもに最上級と共に》…『の中の一つ』(『一人』)『で』,のうちに数えられて / 《分配を表す動詞と共に》…『の間で』,めいめいに / …がいっしょになって,が協力して
white	 〈U〉『白』,白色 / 〈U〉〈C〉白いもの;(特に)『卵の白身』 / 〈U〉『白衣』,白色の服;《しばしば複数形で》白の制服(運動着など) / 〈C〉白人 / 『白い』,白色の,純白の / (恐怖で人・顔・唇などが)『青白い』,血の気のない(pale) / (皮膚の色の)白い,白人の / (髪・ひげなどが)銀色の,改色の / 雪のある,雪の積もった / 《おもに古》潔白の,罪のない / 《英》(コーヒーが)ミルク入りの / …‘を'白くする,漂白する
human	 (動物・神に対して)『人間の』,人の / 『人間らいし』,人間的な,人情味のある / 〈C〉《複数形》(動物に怠して)人間(human being) / 〈U〉《the human》人類
along	 『…をたどって』,…に沿って / …の間に(during),…の途上で / 『沿って』,並んで / 《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って 
speak	 『話す』,しゃべる,物を言う,口をきく / 『話をする』,うわさをする / 『演説する』,講演する,スピーチをする / 〈物事が〉表す,物語る / 〈楽器・大砲などが〉音を出す,鳴る / 〈言葉・意見など〉‘を'『言う』,話す,述べる / 〈言語〉‘を'『話す』,使う / 〈物事が〉…‘を'表す,物語る,示す / (海で)〈他船〉‘と'通信する,通話する / …を表す,であることを示す
month	 (また『calendar month』)(暦の上の1月から12月までのそれぞれの)『月』 / (ある日から翌月のその日までの)ひと月,1か月間 / (また『lunar month』)(太陰暦の)ひと月(月が地球の周りを1公転する期間;太陽暦では『solar month』) 
drive	 (…から…へ)〈動物・敵など〉‘を'『追い立てる』,追い払う,追い出す《+『名』+『away』(『out』)『from』+『名』+『to』+『名』》 / (…から)…‘を'押しやる,押し流す《+『名』+『off』(『out of』)+『名』》 / 〈人〉‘を'駆り立てる(force) / 〈車・馬車〉‘を'『運転する』,操縦する;〈馬〉‘を'御する / 《副詞[句]を伴って》(ある場所へ)〈人〉‘を'車(馬車)で運ぶ(送る) / (…に)〈くい・くぎ・ねじなど〉‘を'打ち込む,差し込む《+『名』+『in』(『into, through』)+『名』》 / 〈人〉‘を'酷使する / 〈商売・取引など〉‘を'活発に行う,強力に進める / (…に)〈トンネルなど〉‘を'掘る,通す《+『名』+『through』+『名』》 / 〈動力が〉〈機械など〉‘を'運転する,動かす / 『車を運転する』 / 《副詞[句]を伴って》車で行く,ドライブする / 〈車・船などが〉(…に)突進する;〈雨・風が〉(…に)激しく吹きつける《+『against』(『into』)+『名』》 / 〈C〉(馬車・自動車などに)乗って行くこと,遠乗り,『ドライブ』 / 〈U〉(馬車・自動車で行く)道のり,行程 / 〈C〉(特に邸内・公園内の)車道 / 〈U〉〈C〉(自動車などの)駆動装置 / 〈C〉(目的達成のための)組織的活動,運動 / 〈U〉元気,迫力,精力 / 〈U〉突進;(軍隊の)猛攻撃 / 〈C〉(心理的な)動因,本能的要求 / 〈U〉〈C〉(ゴルフ・テニスなどの)強打 / 〈C〉(家畜などを)追い立てること 
least	 (littleの最上級;比較級はless) / (大きさ・程度が)『最も小さい』(『少ない』) / (重要性・身分が)最も低い / (大きさ・程度・重要性が)『最小』(『最少』,『最小限』)『の物事』 / 『最も少なく』(『低く』) 
reach	 《時間などの副詞[句]を伴って》〈場所・目的地〉‘に'『着く』,『到着する』;〈人,人の耳など〉‘に'『届く』 / 〈ある年齢・状態など〉‘に'『達する』,到達する / 〈手など〉‘を'『差し出す』,『伸ばす』《+『out』+『名』,+『名』+『out』》 / 〈物〉‘を'『手を伸ばして取る』,‘に'手を届かせる / (電話などで)…‘と'連絡する / 〈ある数量〉に達する~届く,及ぶ / 〈人の心〉を動かす / (…に)『手を伸ばす』《+『out to』(『toward』)+『名』》 / (物を)取ろうと手を伸ばす《+『for』+『名』》;(名声などを)手に入れようとする《+『for(after)』+『名』》 / 〈物事が〉(空間的・時間的に)(…)届く,達する《+『to』+『名』》 / 〈U〉《時にa~》(…に)『手を伸ばすこと』《+『for』+『名』》 / 〈U〉(手・声などの)届く範囲《+『fo』+『名』》 / 〈U〉(力・理解などの)及ぶ範囲 / 〈C〉(川の曲がり目の間の)直線流域
whole	 《the ~,one's ~ の形で名詞の前に用いて》『全体の』,全部の,全… / 《名詞の前にのみ用いて》(時間・距離などが)『まる』…,満… / (物が)完全な,欠けていない;《名詞の後に置いて》丸ごとで,ひとかたまりに / 《冠詞をつけずに複数名詞の前に用いて》ひじょうに多くの / 《古》(人が)無傷の,(肉体的に)健康な / 整数の,分数を含まない / 〈U〉《the ~》(…の)『全部』,全体,全量《+of+名》 / 〈C〉完全なもの,統一体
field	 〈C〉『野原』,[牧]草地;田;畑;《the fields》田野,田畑 / 〈C〉(雪・氷などの)原,広がり / 〈C〉(鉱物などの)産出地,埋蔵地 / 〈C〉『戦場』(battlefield);戦闘(battle) / 〈C〉(スポーツの)『競技場』;(陸上のトラックに対して)フィールド / 〈C〉(ある用途の)場,地面 / 〈C〉(研究・活動などの)『分野』,領域 / 《the~》現地 / 〈C〉(電気・磁気などの)場;(レンズの)視界 / 〈C〉(絵・旗などの)地,下地 / 《the~》《集合的に》(キツネ狩り・競技の)参加者;(競馬の)出走馬;(野球の)守備選手 / (野球・クリケットで)〈打球〉‘を'さばく / 〈選手〉‘を'出場させる,守備につける / (野球・クリケットで)野手をつとめる
today	 『きょう[は]』,本日[は] / 『現代では』,今日では / 『きょう』,本日 / 『現代』,今日
teach	 〈物事・学科など〉‘を'『教える』,〈人〉‘に'教える / (…で)『教師をする』,教える《+at+名》
train	 〈C〉『列車』,(練結された)汽車,電車 / 〈C〉(人・車などを長く続く)列,行列 / 〈C〉(衣服の長く引く)すそ,もすそ / 〈U〉〈C〉《集合的に》従者,随員団 / 〈C〉(事件・考えなどの)連続《+of+名》;(事件などの)結果,余波 / 〈C〉(歯車などを数個組み合わせた)列 / 〈C〉遵火線,口火 / 〈人・動物〉‘に'『教え込む』,‘を'訓練する,しつける / 〈専門家〉‘を'養成する / 〈植物〉‘を'整枝する,仕立てる / (…に)〈銃砲・望遠鏡・カメラなど〉‘を'向ける,ねらう《+名+on(upon)+名》 / 訓練を受ける,練習する:《train for+名…に備えて訓練する》
music	 『音楽』 / 音楽作ぽ,楽曲 / 楽譜(musical score) / 美しい調べ,快い音
